Date,Open,High,Low,Close,Capital Gains,Date_add,Symbol,week_of_year,week_day,avg_daily_price,Year,Month,Week
2015-08-31 00:00:00-04:00,167.0016021964279,167.86143939406244,166.0743255261589,166.6306915283203,0.0,2015-08-31,SPY,36,Monday,166.8920146612424,2015,8,36
2015-09-01 00:00:00-04:00,162.79517297681065,164.1860881209575,160.780465158409,161.65716552734375,0.0,2015-09-01,SPY,36,Tuesday,162.3547229458802,2015,9,36
2015-09-02 00:00:00-04:00,164.05961394177572,164.76772195593378,162.20507350884452,164.72557067871094,0.0,2015-09-02,SPY,36,Wednesday,163.93949502131625,2015,9,36
2015-09-03 00:00:00-04:00,165.44210185476058,166.95103278464268,164.34624575125503,164.84359741210938,0.0,2015-09-03,SPY,36,Thursday,165.3957444506919,2015,9,36
2015-09-04 00:00:00-04:00,162.56755490393905,163.4189540859261,161.5222624242337,162.34837341308594,0.0,2015-09-04,SPY,36,Friday,162.4642862067962,2015,9,36
2015-09-08 00:00:00-04:00,165.17239746156338,166.58016309330876,164.5233036055191,166.4284210205078,0.0,2015-09-08,SPY,37,Tuesday,165.67607129522477,2015,9,37
2015-09-09 00:00:00-04:00,168.02154885898076,168.14798978754095,163.83196792255612,164.20286560058594,0.0,2015-09-09,SPY,37,Wednesday,166.05109304241594,2015,9,37
2015-09-10 00:00:00-04:00,164.0090375397023,166.25135171501603,163.7477176288131,165.0964813232422,0.0,2015-09-10,SPY,37,Thursday,164.7761470516934,2015,9,37
2015-09-11 00:00:00-04:00,164.70026504493737,165.9141496689408,163.98373199631345,165.84671020507812,0.0,2015-09-11,SPY,37,Friday,165.11121422881746,2015,9,37
2015-09-14 00:00:00-04:00,166.02372083209215,166.07429721225424,164.74239679601735,165.2313232421875,0.0,2015-09-14,SPY,38,Monday,165.51793452063782,2015,9,38
2015-09-15 00:00:00-04:00,165.73715399927084,167.7434366632105,165.18922592752583,167.29666137695312,0.0,2015-09-15,SPY,38,Tuesday,166.49161949174007,2015,9,38
2015-09-16 00:00:00-04:00,167.60007360459008,168.9403989915967,167.2544512254719,168.7465057373047,0.0,2015-09-16,SPY,38,Wednesday,168.13535738974085,2015,9,38
2015-09-17 00:00:00-04:00,168.6116724354983,171.03100383362946,167.9878670102975,168.36720275878906,0.0,2015-09-17,SPY,38,Thursday,168.99943650955356,2015,9,38
2015-09-18 00:00:00-04:00,165.83616571731977,168.35280292166152,165.20064826792418,165.6158447265625,0.0,2015-09-18,SPY,38,Friday,166.251365408367,2015,9,38
2015-09-21 00:00:00-04:00,166.45471367833704,167.5054274681029,165.41246879894106,166.47166442871094,0.0,2015-09-21,SPY,39,Monday,166.46106859352298,2015,9,39
2015-09-22 00:00:00-04:00,164.28546291073908,164.77693117411926,163.1669462569154,164.31088256835938,0.0,2015-09-22,SPY,39,Tuesday,164.13505572753328,2015,9,39
2015-09-23 00:00:00-04:00,164.480334320525,164.95485178673775,163.4635093315504,164.04818725585938,0.0,2015-09-23,SPY,39,Wednesday,164.23672067366815,2015,9,39
2015-09-24 00:00:00-04:00,162.81954549436776,163.92111152482275,161.4722517691724,163.45506286621094,0.0,2015-09-24,SPY,39,Thursday,162.91699291364347,2015,9,39
2015-09-25 00:00:00-04:00,164.9294360968496,165.23448489383887,162.53141612350117,163.4126739501953,0.0,2015-09-25,SPY,39,Friday,164.02700276609625,2015,9,39
2015-09-28 00:00:00-04:00,162.50604615027657,162.61620664470018,158.99799037721044,159.31150817871094,0.0,2015-09-28,SPY,40,Monday,160.85793783772453,2015,9,40
2015-09-29 00:00:00-04:00,159.5318506435529,160.77746603562392,158.39638283109798,159.4047393798828,0.0,2015-09-29,SPY,40,Tuesday,159.5276097225394,2015,9,40
2015-09-30 00:00:00-04:00,161.31127441810176,162.54842076318582,160.52323897355902,162.3789520263672,0.0,2015-09-30,SPY,40,Wednesday,161.69047154530344,2015,9,40
2015-10-01 00:00:00-04:00,162.76019612831234,163.10761530689473,160.8451755864807,162.8025665283203,0.0,2015-10-01,SPY,40,Thursday,162.378888387502,2015,10,40
2015-10-02 00:00:00-04:00,160.80284159308516,165.25993198893536,160.25205212754128,165.23451232910156,0.0,2015-10-02,SPY,40,Friday,162.88733450966583,2015,10,40
2015-10-05 00:00:00-04:00,166.47166850416923,168.40364034579613,166.36150801849337,168.1748504638672,0.0,2015-10-05,SPY,41,Monday,167.35291683308148,2015,10,41
2015-10-06 00:00:00-04:00,168.03929240105597,168.60701979556774,166.92925727673924,167.59866333007812,0.0,2015-10-06,SPY,41,Tuesday,167.79355820086028,2015,10,41
2015-10-07 00:00:00-04:00,168.53922961148083,169.3272780058243,167.33598474075293,168.9713897705078,0.0,2015-10-07,SPY,41,Wednesday,168.54347053214147,2015,10,41
