Date_add,Weekday,Symbol,Strategy,Buy_Price,Buy_Level,Shares Purchased,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close
2022-08-01,Monday,TQQQ,DCA_Monthly,31.88,DCA,3.13688,100.0,826.7521,8500.0,26413.37,31.95
2022-09-12,Monday,TQQQ,DCA_Monthly,29.36,DCA,3.40586,100.0,830.15796,8600.0,24627.18,29.67
2022-10-03,Monday,TQQQ,DCA_Monthly,19.36,DCA,5.16596,100.0,835.32392,8700.0,16552.33,19.82
2022-11-07,Monday,TQQQ,DCA_Monthly,17.51,DCA,5.71064,100.0,841.03456,8800.0,14939.25,17.76
2022-12-05,Monday,TQQQ,DCA_Monthly,21.62,DCA,4.62513,100.0,845.65969,8900.0,18030.55,21.32
2023-01-09,Monday,TQQQ,DCA_Monthly,17.58,DCA,5.68816,100.0,851.34786,9000.0,14782.33,17.36
2023-02-06,Monday,TQQQ,DCA_Monthly,24.03,DCA,4.16185,100.0,855.5097,9100.0,20512.7,23.98
2023-03-06,Monday,TQQQ,DCA_Monthly,22.97,DCA,4.35356,100.0,859.86327,9200.0,19531.11,22.71
2023-04-03,Monday,TQQQ,DCA_Monthly,26.96,DCA,3.70978,100.0,863.57304,9300.0,23498.13,27.21
2023-05-01,Monday,TQQQ,DCA_Monthly,27.32,DCA,3.65975,100.0,867.23279,9400.0,23690.22,27.32
2023-06-05,Monday,TQQQ,DCA_Monthly,35.86,DCA,2.7886,100.0,870.02139,9500.0,31131.7,35.78
2023-07-03,Monday,TQQQ,DCA_Monthly,40.08,DCA,2.49493,100.0,872.51632,9600.0,35037.35,40.16
2023-08-07,Monday,TQQQ,DCA_Monthly,40.62,DCA,2.46177,100.0,874.97809,9700.0,35885.24,41.01
2023-09-11,Monday,TQQQ,DCA_Monthly,40.44,DCA,2.47258,100.0,877.45067,9800.0,35747.64,40.74
2023-10-02,Monday,TQQQ,DCA_Monthly,35.27,DCA,2.83522,100.0,880.28589,9900.0,31340.41,35.6
2023-11-06,Monday,TQQQ,DCA_Monthly,36.94,DCA,2.70728,100.0,882.99317,10000.0,32764.26,37.11
2023-12-04,Monday,TQQQ,DCA_Monthly,41.66,DCA,2.40053,100.0,885.39369,10100.0,37149.07,41.96
