Symbol,Date,Open,High,Low,Close,Volume
AAPL,2005-01-03 00:00:00-05:00,0.9696086338350399,0.9745480920532641,0.9369786731653935,0.9473069310188293,691992000
AAPL,2005-01-04 00:00:00-05:00,0.9547903313461297,0.9799360664724686,0.9425167249894523,0.9570358395576477,1096810400
AAPL,2005-01-05 00:00:00-05:00,0.9648186592299197,0.9766439261541237,0.9586822542714827,0.9654179811477661,680433600
AAPL,2005-01-06 00:00:00-05:00,0.9679616654687123,0.9715540987028265,0.9479053704154179,0.9661661982536316,705555200
AAPL,2005-01-07 00:00:00-05:00,0.972900978036098,1.0422017655378832,0.9691592644887974,1.0365138053894043,2227450400
AAPL,2005-01-10 00:00:00-05:00,1.0451951815786638,1.0582173904457222,1.0160084712517314,1.0321738719940186,1725309600
AAPL,2005-01-11 00:00:00-05:00,1.0215462887756162,1.035016837730967,0.9600288867253984,0.9663152694702148,2611627200
AAPL,2005-01-12 00:00:00-05:00,0.9796374289012044,0.9863730578542077,0.9474566900921245,0.9797874093055725,1919702400
AAPL,2005-01-13 00:00:00-05:00,1.103270284377067,1.1138977055643111,1.0436992116146468,1.0447468757629395,3164716800
AAPL,2005-01-14 00:00:00-05:00,1.0514818307121059,1.073484377141596,1.0356164880384828,1.0507333278656006,1770742400
AAPL,2005-01-18 00:00:00-05:00,1.0454944461697686,1.0582173938749442,1.0140622275548188,1.0574688911437988,1006460000
AAPL,2005-01-19 00:00:00-05:00,1.0550741518331057,1.0695924676070119,1.0439982893110638,1.0459437370300293,751895200
AAPL,2005-01-20 00:00:00-05:00,1.0425010528828833,1.0667490998879385,1.03980710299413,1.0546246767044067,914922400
AAPL,2005-01-21 00:00:00-05:00,1.0673479224263889,1.071688059672148,1.0477400664446792,1.0550742149353027,911332800
AAPL,2005-01-24 00:00:00-05:00,1.062407965533167,1.0743823062570557,1.0559715038464874,1.059114694595337,841629600
AAPL,2005-01-25 00:00:00-05:00,1.0682455595279767,1.0902481039585308,1.0618098944688574,1.0784237384796143,969231200
AAPL,2005-01-26 00:00:00-05:00,1.0875538434552088,1.0889007683755705,1.0660005467232607,1.081417441368103,739496800
AAPL,2005-01-27 00:00:00-05:00,1.0800697963058747,1.091445718235949,1.0709401818058402,1.0872547626495361,496227200
AAPL,2005-01-28 00:00:00-05:00,1.0869554551131908,1.1073110103607178,1.0842607056582063,1.1073110103607178,801612000
AAPL,2005-01-31 00:00:00-05:00,1.1162918965053035,1.1658348433673482,1.1152441329984304,1.1510164737701416,1681097600
AAPL,2005-02-01 00:00:00-05:00,1.1532627132407738,1.164039316472519,1.14622772522818,1.1604468822479248,678395200
AAPL,2005-02-02 00:00:00-05:00,1.1667330783791054,1.196069870922017,1.1628413835133984,1.1918789148330688,1020062400
