Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
MSFT,2021-01-04 05:00:00+00:00,213.9260239305633,214.377852865714,206.50451143811924,209.27316284179688,37130100,2021,1,1,Monday,211.0204,213.82028198242188,-2.13,0.05,-3.42,-2.13,3.42,211.6821,209.5439,207.4057,205.2675,203.1293,200.9911,198.8529,196.7147,194.5765,192.4383,190.3001,188.1618,186.0236,183.8854,181.7472,179.609,175.3326,173.1944,171.0562,168.918,166.7798,164.6416,162.5034,160.3652,3,628.6316,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2021-01-05 05:00:00+00:00,208.8597519511152,210.0710441068652,207.36007087144,209.4750061035156,23823000,2021,1,1,Tuesday,208.9415,209.27316284179688,0.1,-0.2,-0.91,0.1,0.91,207.1804,205.0877,202.995,200.9022,198.8095,196.7168,194.624,192.5313,190.4386,188.3458,186.2531,184.1604,182.0677,179.9749,177.8822,175.7895,171.604,169.5113,167.4185,165.3258,163.2331,161.1403,159.0476,156.9549,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2021-01-06 05:00:00+00:00,203.9665789381393,208.1195559024271,203.7454758504201,204.04348754882807,35930700,2021,1,1,Wednesday,204.9688,209.4750061035156,-2.59,-2.63,-2.74,-2.59,2.74,207.3803,205.2855,203.1908,201.096,199.0013,196.9065,194.8118,192.717,190.6223,188.5275,186.4328,184.338,182.2433,180.1485,178.0538,175.959,171.7695,169.6748,167.58,165.4853,163.3905,161.2958,159.201,157.1063,2,412.6658,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2021-01-07 05:00:00+00:00,205.76429862560525,210.85938106284232,205.4470707348936,209.8499755859375,27694500,2021,1,1,Thursday,207.9802,204.04348754882807,2.85,0.84,0.69,2.85,-0.69,202.0031,199.9626,197.9222,195.8817,193.8413,191.8009,189.7604,187.72,185.6796,183.6391,181.5987,179.5583,177.5178,175.4774,173.437,171.3965,167.3157,165.2752,163.2348,161.1944,159.1539,157.1135,155.0731,153.0326,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2021-01-08 05:00:00+00:00,210.2248973348111,212.0514440833961,208.6386991954789,211.1285552978516,22956200,2021,1,1,Friday,210.5109,209.8499755859375,0.61,0.18,-0.58,0.61,0.58,207.7515,205.653,203.5545,201.456,199.3575,197.259,195.1605,193.062,190.9635,188.865,186.7665,184.668,182.5695,180.471,178.3725,176.274,172.077,169.9785,167.88,165.7815,163.683,161.5845,159.486,157.3875,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2021-01-11 05:00:00+00:00,210.0230376128176,210.4460277203145,208.35030800648536,209.0809326171875,23031300,2021,1,2,Monday,209.4751,211.1285552978516,-0.97,-0.52,-1.32,-0.97,1.32,209.0173,206.906,204.7947,202.6834,200.5721,198.4608,196.3496,194.2383,192.127,190.0157,187.9044,185.7931,183.6818,181.5706,179.4593,177.348,173.1254,171.0141,168.9028,166.7916,164.6803,162.569,160.4577,158.3464,1,209.0173,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2021-01-12 05:00:00+00:00,208.12919249318384,208.70599981796764,205.0721518107608,206.6198883056641,23249300,2021,1,2,Tuesday,207.1318,209.0809326171875,-1.18,-0.46,-1.92,-1.18,1.92,206.9901,204.8993,202.8085,200.7177,198.6269,196.5361,194.4453,192.3545,190.2636,188.1728,186.082,183.9912,181.9004,179.8096,177.7188,175.628,171.4464,169.3556,167.2647,165.1739,163.0831,160.9923,158.9015,156.8107,1,206.9901,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2021-01-13 05:00:00+00:00,205.74509610082765,208.37914685698567,205.6585647288094,207.9753875732422,20087100,2021,1,2,Wednesday,206.9395,206.6198883056641,0.66,-0.42,-0.47,0.66,0.47,204.5537,202.4875,200.4213,198.3551,196.2889,194.2227,192.1565,190.0903,188.0241,185.9579,183.8917,181.8255,179.7593,177.6931,175.6269,173.5607,169.4283,167.3621,165.2959,163.2297,161.1635,159.0973,157.0311,154.9649,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2021-01-14 05:00:00+00:00,207.5619967995437,209.0520700847617,204.5145643571503,204.7837371826172,29480800,2021,1,2,Thursday,206.4781,207.9753875732422,-1.53,-0.2,-1.66,-1.53,1.66,205.8956,203.8159,201.7361,199.6564,197.5766,195.4969,193.4171,191.3374,189.2576,187.1778,185.0981,183.0183,180.9386,178.8588,176.7791,174.6993,170.5398,168.4601,166.3803,164.3006,162.2208,160.141,158.0613,155.9815,1,205.8956,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2021-01-15 05:00:00+00:00,205.26439629941865,206.21610922436776,203.8320008708064,204.4280242919922,31746500,2021,1,2,Friday,204.9351,204.7837371826172,-0.17,0.23,-0.46,-0.17,0.46,202.7359,200.6881,198.6402,196.5924,194.5446,192.4967,190.4489,188.401,186.3532,184.3054,182.2575,180.2097,178.1619,176.114,174.0662,172.0183,167.9227,165.8748,163.827,161.7792,159.7313,157.6835,155.6356,153.5878,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2021-01-19 05:00:00+00:00,205.48550728775663,208.5906175128357,204.40881599037613,208.07150268554688,30480900,2021,1,3,Tuesday,206.6391,204.4280242919922,1.78,0.52,-0.01,1.78,0.01,202.3837,200.3395,198.2952,196.2509,194.2066,192.1623,190.1181,188.0738,186.0295,183.9852,181.9409,179.8967,177.8524,175.8081,173.7638,171.7195,167.631,165.5867,163.5424,161.4981,159.4539,157.4096,155.3653,153.321,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
