Symbol,Date,Open,High,Low,Close,Volume
AAPL,2005-01-03 00:00:00-05:00,0.9723516086825331,0.9773050403836452,0.9396293394687296,0.9499868154525757,691992000
AAPL,2005-01-04 00:00:00-05:00,0.9574912817299593,0.9827081501519669,0.9451829552879274,0.9597431421279907,1096810400
AAPL,2005-01-05 00:00:00-05:00,0.9675480486231277,0.9794067682151527,0.9613942843003732,0.9681490659713745,680433600
AAPL,2005-01-06 00:00:00-05:00,0.9706996767596537,0.9743022716800287,0.9505866497465417,0.968899130821228,705555200
AAPL,2005-01-07 00:00:00-05:00,0.9756537742544874,1.0451506464042204,0.9719014736329256,1.0394465923309326,2227450400
AAPL,2005-01-10 00:00:00-05:00,1.0481525334108277,1.0612115882698412,1.0188832400670755,1.0350943803787231,1725309600
AAPL,2005-01-11 00:00:00-05:00,1.0244365599018288,1.0379452212159908,0.9627451060510622,0.9690492749214172,2611627200
AAPL,2005-01-12 00:00:00-05:00,0.9824081438555421,0.9891628232320148,0.9501363880521851,0.98255854845047,1919702400
AAPL,2005-01-13 00:00:00-05:00,1.106391023506506,1.11704850569477,1.0466514464524495,1.0477020740509033,3164716800
AAPL,2005-01-14 00:00:00-05:00,1.054456670420856,1.076521466189232,1.0385464417111647,1.0537060499191284,1770742400
AAPL,2005-01-18 00:00:00-05:00,1.048452245698946,1.061211187788281,1.0169311024591348,1.0604605674743652,1006460000
AAPL,2005-01-19 00:00:00-05:00,1.0580591153447756,1.07261850561829,1.046951917541293,1.0489028692245483,751895200
AAPL,2005-01-20 00:00:00-05:00,1.0454504426648092,1.069767090983859,1.0427488711930821,1.0576083660125732,914922400
AAPL,2005-01-21 00:00:00-05:00,1.0703674064391988,1.07471982175732,1.0507040806276255,1.0580589771270752,911332800
AAPL,2005-01-24 00:00:00-05:00,1.0654144450291878,1.077422671615224,1.0589597689740962,1.0621118545532227,841629600
AAPL,2005-01-25 00:00:00-05:00,1.071267452048077,1.0933322380895085,1.0648135815417825,1.0814744234085083,969231200
AAPL,2005-01-26 00:00:00-05:00,1.0906308306401546,1.091981566379396,1.0690165537385934,1.0844770669937134,739496800
AAPL,2005-01-27 00:00:00-05:00,1.083125308162313,1.094533412516573,1.0739698660301704,1.0903306007385254,496227200
AAPL,2005-01-28 00:00:00-05:00,1.0900304509791217,1.1104435920715332,1.087328078080697,1.1104435920715332,801612000
AAPL,2005-01-31 00:00:00-05:00,1.1194503255917705,1.1691334489478737,1.1183995975495942,1.1542731523513794,1681097600
AAPL,2005-02-01 00:00:00-05:00,1.1565252938491457,1.1673323840951022,1.1494704038530694,1.1637297868728638,678395200
AAPL,2005-02-02 00:00:00-05:00,1.170033541977901,1.1994533226675341,1.1661308382555156,1.1952505111694336,1020062400
AAPL,2005-02-03 00:00:00-05:00,1.1872952452224241,1.192248676222048,1.1607275440084956,1.1679320335388184,731651200
AAPL,2005-02-04 00:00:00-05:00,1.1688333755453817,1.184743599028867,1.163729538581461,1.1833927631378174,563556000
AAPL,2005-02-07 00:00:00-05:00,1.1847434609164549,1.1910477284172238,1.1632796921575388,1.1848939657211304,524456800
AAPL,2005-02-08 00:00:00-05:00,1.186845013168495,1.2215182367302446,1.1826421010248254,1.2143137454986572,890019200
AAPL,2005-02-09 00:00:00-05:00,1.216415183455604,1.2306745638906256,1.172285604998457,1.1818915605545044,1191456000
AAPL,2005-02-10 00:00:00-05:00,1.1815918520511945,1.189997478627788,1.1506717197183574,1.1761887073516846,1093019200
AAPL,2005-02-11 00:00:00-05:00,1.1987030733022899,1.2272225394864542,1.1848943036367134,1.218967318534851,1201054400
AAPL,2005-02-14 00:00:00-05:00,1.2417816439662592,1.272702567205788,1.231575473708785,1.270301103591919,1271463200
AAPL,2005-02-15 00:00:00-05:00,1.3007716402514522,1.337095709831572,1.290864775211667,1.3270392417907715,2312217600
AAPL,2005-02-16 00:00:00-05:00,1.323136486076116,1.3539069062860887,1.3111281652813969,1.3528562784194946,1639243200
AAPL,2005-02-17 00:00:00-05:00,1.3606617966247445,1.3641139887256344,1.312629511603222,1.3180334568023682,1518473600
AAPL,2005-02-18 00:00:00-05:00,1.3169826092273853,1.3187838571914183,1.2946177148915878,1.303023338317871,1163254400
AAPL,2005-02-22 00:00:00-05:00,1.295367352939747,1.3253880479538178,1.2802077531814575,1.2802077531814575,1219293600
AAPL,2005-02-23 00:00:00-05:00,1.3016715619133292,1.327639049606951,1.2841104983717153,1.324337363243103,1345181600
AAPL,2005-02-24 00:00:00-05:00,1.3280903832592676,1.3405483190236813,1.3168326787767648,1.3348450660705566,1519028000
AAPL,2005-02-25 00:00:00-05:00,1.3452013296045444,1.349554546476772,1.3237366557109436,1.3357449769973755,915510400
AAPL,2005-02-28 00:00:00-05:00,1.3412984117428088,1.3551080802592559,1.3196842368756176,1.3467024564743042,651610400
AAPL,2005-03-01 00:00:00-05:00,1.3506054330226633,1.3542072284104671,1.3256885642422258,1.3358955383300781,468188000
AAPL,2005-03-02 00:00:00-05:00,1.328390033102247,1.3476028469078636,1.3232869973678443,1.324487328529358,458161200
AAPL,2005-03-03 00:00:00-05:00,1.3319925023005115,1.3331928332567995,1.2374291890518083,1.2545404434204102,1411653600
AAPL,2005-03-04 00:00:00-05:00,1.2836602546789728,1.291164753877736,1.2563419256420962,1.2851614952087402,756618800
AAPL,2005-03-07 00:00:00-05:00,1.2848605625133909,1.2983701237897094,1.2713519030635656,1.2833601236343384,450632000
AAPL,2005-03-08 00:00:00-05:00,1.2578431130771506,1.2656478199712453,1.2038066729279846,1.2167152166366577,1021451200
AAPL,2005-03-09 00:00:00-05:00,1.1899973134720963,1.2092100284050242,1.165681462248479,1.1812915802001953,1322465200
AAPL,2005-03-10 00:00:00-05:00,1.186695282992605,1.2086096656199357,1.1737867396566048,1.1957011222839355,777109200
AAPL,2005-03-11 00:00:00-05:00,1.2071087399130838,1.2185168474238441,1.1948012105927792,1.2089099884033203,632830800
AAPL,2005-03-14 00:00:00-05:00,1.2164153715317183,1.224520989609042,1.1863955658675556,1.2104113101959229,605385200
AAPL,2005-03-15 00:00:00-05:00,1.2200180758777226,1.235027978796132,1.2083098606068419,1.2296240329742432,508608800
AAPL,2005-03-16 00:00:00-05:00,1.23712947210223,1.2701509588949171,1.2242209251479923,1.236228346824646,697813200
AAPL,2005-03-17 00:00:00-05:00,1.246735282811622,1.2872630692586329,1.2404310139169963,1.26835036277771,801920000
AAPL,2005-03-18 00:00:00-05:00,1.3007713428963497,1.3040739310968195,1.2758544827888942,1.2896641492843628,940150400
AAPL,2005-03-21 00:00:00-05:00,1.2995703537532068,1.3199841968716133,1.2866618107374472,1.3118786811828613,541128000
AAPL,2005-03-22 00:00:00-05:00,1.3121789179937446,1.3196843190372838,1.2812587940049314,1.2857617139816284,551415200
AAPL,2005-03-23 00:00:00-05:00,1.2743536663271902,1.302873131675674,1.2614451204425345,1.2773561477661133,609823200
AAPL,2005-03-24 00:00:00-05:00,1.2881631352001683,1.290864706731585,1.2758547067642212,1.2758547067642212,352704800
AAPL,2005-03-28 00:00:00-05:00,1.2833602052298352,1.2896644738339154,1.274954580559695,1.276755928993225,275410800
AAPL,2005-03-29 00:00:00-05:00,1.2776560587548056,1.2857616751989738,1.2458349108375184,1.253339409828186,461356000
AAPL,2005-03-30 00:00:00-05:00,1.2629463265500478,1.284860610961914,1.2554409253775798,1.284860610961914,394959600
AAPL,2005-03-31 00:00:00-05:00,1.274353583854687,1.27645504015765,1.248536593959135,1.250938057899475,636134800
AAPL,2005-04-01 00:00:00-05:00,1.2635463121408028,1.2662486851537684,1.2179162994168498,1.2275222539901733,641284000
AAPL,2005-04-04 00:00:00-04:00,1.230525245919109,1.2401312037002037,1.205608374426092,1.2335268259048462,580014400
AAPL,2005-04-05 00:00:00-04:00,1.237429551582398,1.2680495733774837,1.2335267463304287,1.2575424909591675,556239600
AAPL,2005-04-06 00:00:00-04:00,1.272853529106209,1.2851618612215046,1.2653481259434052,1.2707520723342896,414825600
AAPL,2005-04-07 00:00:00-04:00,1.2707521376927167,1.313380489108467,1.2683506730929566,1.3076764345169067,506987600
AAPL,2005-04-08 00:00:00-04:00,1.3118789395736148,1.3343942430986073,1.3070759113005916,1.313080072402954,649950000
AAPL,2005-04-11 00:00:00-04:00,1.325388466398087,1.3283900458528217,1.2581433669255953,1.2584434747695923,821662800
AAPL,2005-04-12 00:00:00-04:00,1.2755548515987336,1.2965689141862426,1.2611450655345067,1.2806578874588013,981061200
AAPL,2005-04-13 00:00:00-04:00,1.2893641717661988,1.2905645027243482,1.2125123283465222,1.232025146484375,1371946800
AAPL,2005-04-14 00:00:00-04:00,1.1650802682774621,1.18759566932234,1.1059407915109412,1.1185492277145386,2753192400
AAPL,2005-04-15 00:00:00-04:00,1.0993370199122023,1.118249632790518,1.0591101288992837,1.0612115859985352,1728087200
AAPL,2005-04-18 00:00:00-04:00,1.0507039116960872,1.089730449210567,1.0206840146539136,1.0693165063858032,1327177600
AAPL,2005-04-19 00:00:00-04:00,1.0987362251118717,1.1239530957989148,1.076821041194723,1.1134461164474487,1081642800
AAPL,2005-04-20 00:00:00-04:00,1.130557321800745,1.1329587850680896,1.0639124575076797,1.0660138130187988,945131600
AAPL,2005-04-21 00:00:00-04:00,1.0927320157320188,1.1170486621348557,1.07772211748205,1.1161476373672485,759592400
AAPL,2005-04-22 00:00:00-04:00,1.1059403825040282,1.110744210051657,1.0477019521454725,1.0657135248184204,839129200
AAPL,2005-04-25 00:00:00-04:00,1.095433533133125,1.1113445555713573,1.084026331673375,1.1101434230804443,746460400
AAPL,2005-04-26 00:00:00-04:00,1.1041391555015174,1.1260543352034573,1.0843262330107757,1.0864276885986328,810507600
AAPL,2005-04-27 00:00:00-04:00,1.0774220462181774,1.0915309201787498,1.0660139419845236,1.079223394393921,613888800
AAPL,2005-04-28 00:00:00-04:00,1.0894295320058616,1.090930772344415,1.057908394839944,1.0669150352478027,575106000
AAPL,2005-04-29 00:00:00-04:00,1.0852275418666475,1.087629808794955,1.0573089796089936,1.0825259685516357,671630400
AAPL,2005-05-02 00:00:00-04:00,1.0870280836418675,1.100237537059742,1.0813249329160548,1.093632459640503,465920000
AAPL,2005-05-03 00:00:00-04:00,1.0927324383381716,1.10293941358266,1.0816252396013801,1.0870283842086792,496739600
AAPL,2005-05-04 00:00:00-04:00,1.0840265725750982,1.1167479459967298,1.0837264647408005,1.1152476072311401,448176400
AAPL,2005-05-05 00:00:00-04:00,1.11824935541158,1.1188495711707906,1.0948338263918678,1.1011379957199097,387366000
