Date,Symbol,Buy_Price,Buy_Level
2014-12-15 00:00:00-05:00,SPLG,19.777779965858304,1.0000000000000009%
2015-01-06 00:00:00-05:00,SPLG,19.883255575610647,1.0000000000000009%
2015-01-09 00:00:00-05:00,SPLG,20.33752726435998,1.0000000000000009%
2015-01-13 00:00:00-05:00,SPLG,20.080037472300702,1.0000000000000009%
2015-06-29 00:00:00-04:00,SPLG,20.78722468152247,1.0000000000000009%
2015-08-03 00:00:00-04:00,SPLG,21.01952803228395,1.0000000000000009%
2015-08-21 00:00:00-04:00,SPLG,20.113535981929385,1.0000000000000009%
2015-08-24 00:00:00-04:00,SPLG,18.808394505491698,1.0000000000000009%
2015-08-25 00:00:00-04:00,SPLG,19.494755905982334,1.0000000000000009%
2015-08-25 00:00:00-04:00,SPLG,19.297839179659277,2.0000000000000018%
2015-08-25 00:00:00-04:00,SPLG,19.100922453336224,3.0000000000000027%
2015-08-26 00:00:00-04:00,SPLG,19.196981312190943,1.0000000000000009%
2015-09-09 00:00:00-04:00,SPLG,19.836883753449097,1.0000000000000009%
2015-09-28 00:00:00-04:00,SPLG,19.122511100107246,1.0000000000000009%
2015-11-09 00:00:00-05:00,SPLG,20.892565306800957,1.0000000000000009%
2015-12-09 00:00:00-05:00,SPLG,20.637889783853982,1.0000000000000009%
2015-12-17 00:00:00-05:00,SPLG,20.654864760061216,1.0000000000000009%
2015-12-18 00:00:00-05:00,SPLG,20.31901411863452,1.0000000000000009%
2016-01-06 00:00:00-05:00,SPLG,20.041491170856546,1.0000000000000009%
2016-01-08 00:00:00-05:00,SPLG,19.520596754448828,1.0000000000000009%
2016-01-12 00:00:00-05:00,SPLG,19.381836040629803,1.0000000000000009%
2016-01-13 00:00:00-05:00,SPLG,19.25802181076046,1.0000000000000009%
2016-01-15 00:00:00-05:00,SPLG,18.749933393731133,1.0000000000000009%
2016-01-19 00:00:00-05:00,SPLG,18.895098962492565,1.0000000000000009%
2016-02-02 00:00:00-05:00,SPLG,19.17902707576044,1.0000000000000009%
2016-02-03 00:00:00-05:00,SPLG,19.01465300881961,1.0000000000000009%
2016-02-05 00:00:00-05:00,SPLG,18.97621719747715,1.0000000000000009%
2016-02-23 00:00:00-05:00,SPLG,19.36261851239692,1.0000000000000009%
2016-03-10 00:00:00-05:00,SPLG,19.98811876235819,1.0000000000000009%
2016-05-18 00:00:00-04:00,SPLG,20.70822252757773,1.0000000000000009%
2016-07-15 00:00:00-04:00,SPLG,21.967978422289402,1.0000000000000009%
2016-09-09 00:00:00-04:00,SPLG,21.916222172885533,1.0000000000000009%
2016-10-11 00:00:00-04:00,SPLG,21.91632768032363,1.0000000000000009%
2016-10-27 00:00:00-04:00,SPLG,21.859984450207932,1.0000000000000009%
2016-11-01 00:00:00-04:00,SPLG,21.619437758424247,1.0000000000000009%
2016-12-14 00:00:00-05:00,SPLG,23.2404588685144,1.0000000000000009%
2016-12-16 00:00:00-05:00,SPLG,23.26860414749989,1.0000000000000009%
2017-01-03 00:00:00-05:00,SPLG,23.183600747160593,1.0000000000000009%
2017-01-30 00:00:00-05:00,SPLG,23.50834956262802,1.0000000000000009%
2017-03-21 00:00:00-04:00,SPLG,24.283157307370598,1.0000000000000009%
2017-04-03 00:00:00-04:00,SPLG,24.36632447074513,1.0000000000000009%
2017-07-27 00:00:00-04:00,SPLG,25.64902865937535,1.0000000000000009%
2017-08-17 00:00:00-04:00,SPLG,25.56326120750181,1.0000000000000009%
2017-08-18 00:00:00-04:00,SPLG,25.22901756966053,1.0000000000000009%
2017-09-20 00:00:00-04:00,SPLG,26.156736291158698,1.0000000000000009%
2017-11-01 00:00:00-04:00,SPLG,27.257095412894135,1.0000000000000009%
2017-11-01 00:00:00-04:00,SPLG,26.981771216804294,2.0000000000000018%
2017-12-01 00:00:00-05:00,SPLG,27.46921226070245,1.0000000000000009%
2018-01-16 00:00:00-05:00,SPLG,29.06518068683645,1.0000000000000009%
2018-01-24 00:00:00-05:00,SPLG,29.624806873022415,1.0000000000000009%
2018-02-02 00:00:00-05:00,SPLG,29.154004789633664,1.0000000000000009%
2018-02-05 00:00:00-05:00,SPLG,28.41671496561263,1.0000000000000009%
2018-02-05 00:00:00-05:00,SPLG,28.12967744070745,2.0000000000000018%
2018-02-05 00:00:00-05:00,SPLG,27.842639915802273,3.0000000000000027%
2018-02-08 00:00:00-05:00,SPLG,27.901500044470513,1.0000000000000009%
2018-02-08 00:00:00-05:00,SPLG,27.61966671068798,2.0000000000000018%
2018-02-08 00:00:00-05:00,SPLG,27.33783337690545,3.0000000000000027%
2018-02-09 00:00:00-05:00,SPLG,27.164213575871614,1.0000000000000009%
2018-02-09 00:00:00-05:00,SPLG,26.88982758015574,2.0000000000000018%
2018-02-09 00:00:00-05:00,SPLG,26.615441584439864,3.0000000000000027%
2018-02-27 00:00:00-05:00,SPLG,28.91416743615523,1.0000000000000009%
2018-02-28 00:00:00-05:00,SPLG,28.65655607164013,1.0000000000000009%
2018-03-01 00:00:00-05:00,SPLG,28.26570155260265,1.0000000000000009%
2018-03-01 00:00:00-05:00,SPLG,27.980189415707674,2.0000000000000018%
2018-03-13 00:00:00-04:00,SPLG,29.109589669622544,1.0000000000000009%
2018-03-14 00:00:00-04:00,SPLG,28.949695824101994,1.0000000000000009%
2018-03-19 00:00:00-04:00,SPLG,28.61117303009867,1.0000000000000009%
2018-03-22 00:00:00-04:00,SPLG,28.04019842799441,1.0000000000000009%
2018-03-23 00:00:00-04:00,SPLG,27.701180767177814,1.0000000000000009%
