Date,Symbol,Buy_Price,Buy_Level
2014-07-31 00:00:00-04:00,XLG,11.531547947757403,1.0000000000000009%
2014-08-07 00:00:00-04:00,XLG,11.367710825527304,1.0000000000000009%
2014-09-25 00:00:00-04:00,XLG,11.92075999946256,1.0000000000000009%
2014-10-01 00:00:00-04:00,XLG,11.788523716565177,1.0000000000000009%
2014-10-09 00:00:00-04:00,XLG,11.773170220436565,1.0000000000000009%
2014-10-13 00:00:00-04:00,XLG,11.454099349881286,1.0000000000000009%
2014-10-15 00:00:00-04:00,XLG,11.125644328806933,1.0000000000000009%
2014-11-21 00:00:00-05:00,XLG,12.35244472249015,1.0000000000000009%
2014-12-10 00:00:00-05:00,XLG,12.184377381861125,1.0000000000000009%
2014-12-12 00:00:00-05:00,XLG,12.009484512862384,1.0000000000000009%
2014-12-15 00:00:00-05:00,XLG,11.940383784756072,1.0000000000000009%
2014-12-31 00:00:00-05:00,XLG,12.29384092931782,1.0000000000000009%
2015-01-05 00:00:00-05:00,XLG,12.083819298452962,1.0000000000000009%
2015-01-06 00:00:00-05:00,XLG,11.960372805072284,1.0000000000000009%
2015-01-09 00:00:00-05:00,XLG,12.203834708919603,1.0000000000000009%
2015-01-12 00:00:00-05:00,XLG,12.119822093636289,1.0000000000000009%
2015-01-13 00:00:00-05:00,XLG,12.095817593509118,1.0000000000000009%
2015-01-15 00:00:00-05:00,XLG,11.927794635682783,1.0000000000000009%
2015-01-28 00:00:00-05:00,XLG,12.031524374144043,1.0000000000000009%
2015-01-28 00:00:00-05:00,XLG,11.909993824910265,2.0000000000000018%
2015-01-30 00:00:00-05:00,XLG,11.86778776083383,1.0000000000000009%
2015-03-06 00:00:00-05:00,XLG,12.384713151781265,1.0000000000000009%
2015-03-25 00:00:00-04:00,XLG,12.284719517125637,1.0000000000000009%
2015-04-17 00:00:00-04:00,XLG,12.312315860980673,1.0000000000000009%
2015-05-06 00:00:00-04:00,XLG,12.442520455831925,1.0000000000000009%
2015-05-26 00:00:00-04:00,XLG,12.613245695764071,1.0000000000000009%
2015-06-29 00:00:00-04:00,XLG,12.380979428391926,1.0000000000000009%
2015-07-07 00:00:00-04:00,XLG,12.32897473800651,1.0000000000000009%
2015-07-09 00:00:00-04:00,XLG,12.393980336495911,1.0000000000000009%
2015-07-24 00:00:00-04:00,XLG,12.726795123465763,1.0000000000000009%
2015-08-21 00:00:00-04:00,XLG,12.107964240758067,1.0000000000000009%
2015-08-21 00:00:00-04:00,XLG,11.9856615716595,2.0000000000000018%
2015-08-24 00:00:00-04:00,XLG,11.669409333048662,1.0000000000000009%
2015-08-24 00:00:00-04:00,XLG,11.551536511502716,2.0000000000000018%
2015-08-24 00:00:00-04:00,XLG,11.43366368995677,3.0000000000000027%
2015-08-24 00:00:00-04:00,XLG,11.315790868410824,4.0000000000000036%
2015-08-24 00:00:00-04:00,XLG,11.197918046864878,5.000000000000004%
2015-08-25 00:00:00-04:00,XLG,11.422395456538394,1.0000000000000009%
2015-08-25 00:00:00-04:00,XLG,11.307017724654168,2.0000000000000018%
2015-08-26 00:00:00-04:00,XLG,11.576668574949895,1.0000000000000009%
2015-08-26 00:00:00-04:00,XLG,11.45973252873828,2.0000000000000018%
2015-08-27 00:00:00-04:00,XLG,11.847949960773413,1.0000000000000009%
2015-09-01 00:00:00-04:00,XLG,11.7040752387337,1.0000000000000009%
2015-09-01 00:00:00-04:00,XLG,11.58585225652427,2.0000000000000018%
2015-09-02 00:00:00-04:00,XLG,11.665076463492005,1.0000000000000009%
2015-09-04 00:00:00-04:00,XLG,11.568002241646456,1.0000000000000009%
2015-09-09 00:00:00-04:00,XLG,11.929421861341469,1.0000000000000009%
2015-09-09 00:00:00-04:00,XLG,11.808922650620847,2.0000000000000018%
2015-09-25 00:00:00-04:00,XLG,11.776663498144215,1.0000000000000009%
2015-09-28 00:00:00-04:00,XLG,11.483837432774488,1.0000000000000009%
2015-10-01 00:00:00-04:00,XLG,11.601489769580025,1.0000000000000009%
2015-11-09 00:00:00-05:00,XLG,12.885221356470725,1.0000000000000009%
2015-11-13 00:00:00-05:00,XLG,12.56973577496403,1.0000000000000009%
2015-12-03 00:00:00-05:00,XLG,12.849487365396941,1.0000000000000009%
2015-12-03 00:00:00-05:00,XLG,12.719694563726264,2.0000000000000018%
2015-12-17 00:00:00-05:00,XLG,12.921823102039747,1.0000000000000009%
2015-12-18 00:00:00-05:00,XLG,12.610670667134038,1.0000000000000009%
2016-01-08 00:00:00-05:00,XLG,12.14571581849382,1.0000000000000009%
2016-01-08 00:00:00-05:00,XLG,12.023031820327216,2.0000000000000018%
2016-01-11 00:00:00-05:00,XLG,11.989857803343565,1.0000000000000009%
2016-01-12 00:00:00-05:00,XLG,12.105440101591538,1.0000000000000009%
2016-01-13 00:00:00-05:00,XLG,12.145717581742998,1.0000000000000009%
2016-01-13 00:00:00-05:00,XLG,12.023033565765795,2.0000000000000018%
2016-01-13 00:00:00-05:00,XLG,11.900349549788594,3.0000000000000027%
2016-01-14 00:00:00-05:00,XLG,11.868148109239076,1.0000000000000009%
2016-01-19 00:00:00-05:00,XLG,11.87164779792723,1.0000000000000009%
2016-01-19 00:00:00-05:00,XLG,11.751732163604732,2.0000000000000018%
2016-01-20 00:00:00-05:00,XLG,11.52315100765805,1.0000000000000009%
2016-01-25 00:00:00-05:00,XLG,11.887410480391479,1.0000000000000009%
2016-01-27 00:00:00-05:00,XLG,11.840999866543866,1.0000000000000009%
2016-01-28 00:00:00-05:00,XLG,11.913677986195356,1.0000000000000009%
