Date_add,Weekday,Symbol,Strategy,Buy_Price,Buy_Level,Shares Purchased,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close,Low
"2025-04-03","Wednesday","TQQQ","Buy_on_Dip",49.1564,"2%",1,49.1564,152,10805.1028,6228.2467,40.9753,50.1596,40.91547357047044
"2025-04-03","Wednesday","TQQQ","Buy_on_Dip",48.6548,"3%",1,48.6548,153,10853.7576,6269.222,40.9753,50.1596,40.91547357047044
"2025-04-03","Wednesday","TQQQ","Buy_on_Dip",48.1532,"4%",1,48.1532,154,10901.9108,6310.1973,40.9753,50.1596,40.91547357047044
"2025-04-03","Wednesday","TQQQ","Buy_on_Dip",47.6516,"5%",1,47.6516,155,10949.5624,6351.1727,40.9753,50.1596,40.91547357047044
"2025-04-06","Saturday","TQQQ","Buy_on_Dip",40.5656,"1%",1,40.5656,156,10990.128,6417.0383,41.1349,40.9753,34.902306296608664
"2025-04-06","Saturday","TQQQ","Buy_on_Dip",40.1558,"2%",1,40.1558,157,11030.2838,6458.1732,41.1349,40.9753,34.902306296608664
"2025-04-06","Saturday","TQQQ","Buy_on_Dip",39.746,"3%",1,39.746,158,11070.0298,6499.308,41.1349,40.9753,34.902306296608664
"2025-04-06","Saturday","TQQQ","Buy_on_Dip",39.3363,"4%",1,39.3363,159,11109.3661,6540.4429,41.1349,40.9753,34.902306296608664
"2025-04-06","Saturday","TQQQ","Buy_on_Dip",38.9265,"5%",1,38.9265,160,11148.2927,6581.5778,41.1349,40.9753,34.902306296608664
"2025-04-07","Sunday","TQQQ","Buy_on_Dip",40.7235,"1%",1,40.7235,161,11189.0162,6245.4186,38.7914,41.1349,36.996441278222825
"2025-04-07","Sunday","TQQQ","Buy_on_Dip",40.3122,"2%",1,40.3122,162,11229.3283,6284.21,38.7914,41.1349,36.996441278222825
"2025-04-07","Sunday","TQQQ","Buy_on_Dip",39.9008,"3%",1,39.9008,163,11269.2291,6323.0015,38.7914,41.1349,36.996441278222825
"2025-04-07","Sunday","TQQQ","Buy_on_Dip",39.4895,"4%",1,39.4895,164,11308.7186,6361.7929,38.7914,41.1349,36.996441278222825
"2025-04-07","Sunday","TQQQ","Buy_on_Dip",39.0781,"5%",1,39.0781,165,11347.7967,6400.5843,38.7914,41.1349,36.996441278222825
"2025-04-09","Tuesday","TQQQ","Buy_on_Dip",51.9385,"1%",1,51.9385,166,11399.7353,7637.8605,46.0112,52.4632,41.45396424759712
"2025-04-09","Tuesday","TQQQ","Buy_on_Dip",51.4139,"2%",1,51.4139,167,11451.1491,7683.8717,46.0112,52.4632,41.45396424759712
"2025-04-09","Tuesday","TQQQ","Buy_on_Dip",50.8893,"3%",1,50.8893,168,11502.0384,7729.8829,46.0112,52.4632,41.45396424759712
"2025-04-09","Tuesday","TQQQ","Buy_on_Dip",50.3646,"4%",1,50.3646,169,11552.403,7775.8941,46.0112,52.4632,41.45396424759712
"2025-04-09","Tuesday","TQQQ","Buy_on_Dip",49.84,"5%",1,49.84,170,11602.243,7821.9053,46.0112,52.4632,41.45396424759712
"2025-04-10","Wednesday","TQQQ","Buy_on_Dip",45.5511,"1%",1,45.5511,171,11647.7941,8283.9925,48.4444,46.0112,44.49545141856539
"2025-04-10","Wednesday","TQQQ","Buy_on_Dip",45.091,"2%",1,45.091,172,11692.8851,8332.4369,48.4444,46.0112,44.49545141856539
"2025-04-10","Wednesday","TQQQ","Buy_on_Dip",44.6309,"3%",1,44.6309,173,11737.516,8380.8813,48.4444,46.0112,44.49545141856539
"2025-04-13","Saturday","TQQQ","Buy_on_Dip",47.96,"1%",1,47.96,174,11785.4759,8606.31,49.4616,48.4444,47.935823521106876
"2025-04-15","Monday","TQQQ","Buy_on_Dip",49.1545,"1%",1,49.1545,175,11834.6304,7903.6268,45.1636,49.651,43.03952630317154
"2025-04-15","Monday","TQQQ","Buy_on_Dip",48.658,"2%",1,48.658,176,11883.2884,7948.7904,45.1636,49.651,43.03952630317154
