Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2020-02-10,Monday,ALLY,DCA_Weekly,27.28,25.00,0.91632841,283.85867784,5225.00,7744.46,27.28
2020-02-24,Monday,ALLY,DCA_Weekly,22.93,25.00,1.09050133,284.94917916,5250.00,6532.53,22.93
2020-03-02,Monday,ALLY,DCA_Weekly,21.43,25.00,1.16669168,286.11587084,5275.00,6130.92,21.43
2020-03-09,Monday,ALLY,DCA_Weekly,17.61,25.00,1.41930860,287.53517945,5300.00,5064.71,17.61
2020-03-16,Monday,ALLY,DCA_Weekly,13.46,25.00,1.85771511,289.39289456,5325.00,3894.47,13.46
2020-03-23,Monday,ALLY,DCA_Weekly,10.15,25.00,2.46419063,291.85708519,5350.00,2960.98,10.15
2020-03-30,Monday,ALLY,DCA_Weekly,12.81,25.00,1.95108620,293.80817138,5375.00,3764.67,12.81
2020-04-06,Monday,ALLY,DCA_Weekly,11.58,25.00,2.15972814,295.96789952,5400.00,3425.99,11.58
2020-04-13,Monday,ALLY,DCA_Weekly,13.17,25.00,1.89781796,297.86571748,5425.00,3923.79,13.17
2020-04-20,Monday,ALLY,DCA_Weekly,12.59,25.00,1.98608880,299.85180628,5450.00,3774.40,12.59
2020-04-27,Monday,ALLY,DCA_Weekly,12.71,25.00,1.96648918,301.81829546,5475.00,3837.02,12.71
2020-05-04,Monday,ALLY,DCA_Weekly,12.84,25.00,1.94703599,303.76533145,5500.00,3900.36,12.84
2020-05-11,Monday,ALLY,DCA_Weekly,12.79,25.00,1.95475717,305.72008861,5525.00,3909.95,12.79
2020-05-18,Monday,ALLY,DCA_Weekly,14.01,25.00,1.78488058,307.50496919,5550.00,4307.08,14.01
2020-06-01,Monday,ALLY,DCA_Weekly,15.58,25.00,1.60474597,309.10971516,5575.00,4815.56,15.58
2020-06-08,Monday,ALLY,DCA_Weekly,19.97,25.00,1.25213690,310.36185206,5600.00,6196.64,19.97
2020-06-15,Monday,ALLY,DCA_Weekly,17.71,25.00,1.41171706,311.77356912,5625.00,5521.18,17.71
2020-06-22,Monday,ALLY,DCA_Weekly,16.40,25.00,1.52450943,313.29807854,5650.00,5137.69,16.40
2020-06-29,Monday,ALLY,DCA_Weekly,16.54,25.00,1.51126589,314.80934444,5675.00,5207.71,16.54
2020-07-06,Monday,ALLY,DCA_Weekly,17.13,25.00,1.45979630,316.26914073,5700.00,5416.32,17.13
2020-07-13,Monday,ALLY,DCA_Weekly,17.35,25.00,1.44129990,317.71044063,5725.00,5510.83,17.35
2020-07-20,Monday,ALLY,DCA_Weekly,17.95,25.00,1.39244230,319.10288293,5750.00,5729.19,17.95
