Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QQQ,2019-01-02 05:00:00+00:00,144.50460955430984,149.0601504687191,144.39933374351912,148.22752380371094,58576700,2019,1,1,Wednesday,146.5479,147.6342010498047,0.4,-2.12,-2.19,0.4,2.19,146.1579,144.6815,143.2052,141.7288,140.2525,138.7761,137.2998,135.8235,134.3471,132.8708,131.3944,129.9181,128.4418,126.9654,125.4891,124.0127,121.06,119.5837,118.1074,116.631,115.1547,113.6783,112.202,110.7257,2,290.8394,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-03 05:00:00+00:00,146.0454479428993,146.67708816665296,143.06902976416492,143.38485717773438,74820200,2019,1,1,Thursday,144.7941,148.22752380371094,-3.27,-1.47,-3.48,-3.27,3.48,146.7452,145.263,143.7807,142.2984,140.8161,139.3339,137.8516,136.3693,134.887,133.4048,131.9225,130.4402,128.9579,127.4757,125.9934,124.5111,121.5466,120.0643,118.582,117.0997,115.6175,114.1352,112.6529,111.1706,3,435.7889,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-04 05:00:00+00:00,145.79660207037406,150.2564466017085,145.22238237405452,149.51951599121094,74709300,2019,1,1,Friday,147.6987,143.38485717773438,4.28,1.68,1.28,4.28,-1.28,141.951,140.5172,139.0833,137.6495,136.2156,134.7818,133.3479,131.9141,130.4802,129.0464,127.6125,126.1787,124.7448,123.311,121.8771,120.4433,117.5756,116.1417,114.7079,113.274,111.8402,110.4063,108.9725,107.5386,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-07 05:00:00+00:00,149.8928060714043,152.03659817620226,149.40471700172043,151.29966735839844,52059300,2019,1,1,Monday,150.6584,149.51951599121094,1.19,0.25,-0.08,1.19,0.08,148.0243,146.5291,145.0339,143.5387,142.0435,140.5483,139.0531,137.558,136.0628,134.5676,133.0724,131.5772,130.082,128.5868,127.0916,125.5964,122.606,121.1108,119.6156,118.1204,116.6252,115.13,113.6348,112.1396,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-08 05:00:00+00:00,152.68735858583585,153.2328826949754,150.44787084001243,152.66822814941406,49388700,2019,1,1,Tuesday,152.2591,151.29966735839844,0.9,0.92,-0.56,0.9,0.56,149.7867,148.2737,146.7607,145.2477,143.7347,142.2217,140.7087,139.1957,137.6827,136.1697,134.6567,133.1437,131.6307,130.1177,128.6047,127.0917,124.0657,122.5527,121.0397,119.5267,118.0137,116.5007,114.9877,113.4748,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-09 05:00:00+00:00,153.26164492466458,154.5823756549632,152.6204246058158,153.91244506835938,46491700,2019,1,1,Wednesday,153.5942,152.66822814941406,0.81,0.39,-0.03,0.81,0.03,151.1415,149.6149,148.0882,146.5615,145.0348,143.5081,141.9815,140.4548,138.9281,137.4014,135.8747,134.348,132.8214,131.2947,129.768,128.2413,125.1879,123.6613,122.1346,120.6079,119.0812,117.5545,116.0279,114.5012,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-10 05:00:00+00:00,152.74478261060457,154.43874612424702,151.88343112243086,154.3526153564453,38943400,2019,1,1,Thursday,153.3549,153.91244506835938,0.29,-0.76,-1.32,0.29,1.32,152.3733,150.8342,149.2951,147.7559,146.2168,144.6777,143.1386,141.5994,140.0603,138.5212,136.9821,135.443,133.9038,132.3647,130.8256,129.2865,126.2082,124.6691,123.13,121.5908,120.0517,118.5126,116.9735,115.4343,1,152.3733,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-11 05:00:00+00:00,153.44341096123568,153.950644913533,152.9265971887994,153.78794860839844,30176600,2019,1,1,Friday,153.5272,154.3526153564453,-0.37,-0.59,-0.92,-0.37,0.92,152.8091,151.2656,149.722,148.1785,146.635,145.0915,143.5479,142.0044,140.4609,138.9174,137.3738,135.8303,134.2868,132.7432,131.1997,129.6562,126.5691,125.0256,123.4821,121.9386,120.395,118.8515,117.308,115.7645,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-14 05:00:00+00:00,152.48639085448704,153.08933549577716,151.77817039651745,152.42897033691406,30710200,2019,1,2,Monday,152.4457,153.78794860839844,-0.88,-0.85,-1.31,-0.88,1.31,152.2501,150.7122,149.1743,147.6364,146.0986,144.5607,143.0228,141.4849,139.947,138.4092,136.8713,135.3334,133.7955,132.2576,130.7198,129.1819,126.1061,124.5682,123.0304,121.4925,119.9546,118.4167,116.8788,115.341,1,152.2501,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-15 05:00:00+00:00,153.12760248891723,155.6159318707166,153.0414717173299,155.40538024902344,40874200,2019,1,2,Tuesday,154.2976,152.42897033691406,1.95,0.46,0.4,1.95,-0.4,150.9047,149.3804,147.8561,146.3318,144.8075,143.2832,141.7589,140.2347,138.7104,137.1861,135.6618,134.1375,132.6132,131.0889,129.5646,128.0403,124.9918,123.4675,121.9432,120.4189,118.8946,117.3703,115.846,114.3217,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-16 05:00:00+00:00,155.66382691536663,156.74529565863378,155.3192891053323,155.37672424316406,33812200,2019,1,2,Wednesday,155.7763,155.40538024902344,-0.02,0.17,-0.06,-0.02,0.06,153.8513,152.2973,150.7432,149.1892,147.6351,146.0811,144.527,142.9729,141.4189,139.8648,138.3108,136.7567,135.2027,133.6486,132.0946,130.5405,127.4324,125.8784,124.3243,122.7703,121.2162,119.6621,118.1081,116.554,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-17 05:00:00+00:00,154.8790263593131,157.30035579881232,154.63019922205854,156.60171508789062,39329000,2019,1,2,Thursday,155.8528,155.37672424316406,0.79,-0.32,-0.48,0.79,0.48,153.823,152.2692,150.7154,149.1617,147.6079,146.0541,144.5004,142.9466,141.3928,139.8391,138.2853,136.7315,135.1778,133.624,132.0702,130.5164,127.4089,125.8551,124.3014,122.7476,121.1938,119.6401,118.0863,116.5325,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2019-01-18 05:00:00+00:00,157.70228611543752,158.88903027441518,156.7835286919721,158.152099609375,57183200,2019,1,2,Friday,157.8817,156.60171508789062,0.99,0.7,0.12,0.99,-0.12,155.0357,153.4697,151.9037,150.3376,148.7716,147.2056,145.6396,144.0736,142.5076,140.9415,139.3755,137.8095,136.2435,134.6775,133.1115,131.5454,128.4134,126.8474,125.2814,123.7154,122.1493,120.5833,119.0173,117.4513,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
